Year,Jurisdiction,All students,Average scale score,10th percentile,25th percentile,50th percentile,75th percentile,90th percentile
1994¹,New Mexico,All students,205,151,179,207,233,254
1994¹,New York,All students,212,156,187,215,240,260
1994¹,North Carolina,All students,214,162,188,217,243,263
1994¹,North Dakota,All students,225,181,205,228,248,265
1994¹,Ohio,All students,—,—,—,—,—,—
1994¹,Oklahoma,All students,—,—,—,—,—,—
1994¹,Oregon,All students,—,—,—,—,—,—
1994¹,Pennsylvania,All students,215,163,192,220,243,262
1994¹,Rhode Island,All students,220,173,198,223,245,264
1994¹,South Carolina,All students,203,152,177,206,232,253
1994¹,Tennessee,All students,213,161,188,215,240,259
1994¹,Texas,All students,212,161,189,215,239,259
1994¹,Utah,All students,217,170,196,221,243,260
1994¹,Vermont,All students,—,—,—,—,—,—
1994¹,Virginia,All students,213,163,189,215,240,261
1994¹,Washington,All students,213,161,189,216,240,259
1994¹,West Virginia,All students,213,164,190,215,239,259
1994¹,Wisconsin,All students,224,183,204,226,246,263
1994¹,Wyoming,All students,221,179,201,224,244,260
1992¹,National,All students,217,170,194,219,242,261
1992¹,Alabama,All students,207,161,184,209,232,252
1992¹,Arizona,All students,209,164,187,212,234,252
1992¹,Arkansas,All students,211,165,188,213,236,254
1992¹,California,All students,202,148,176,205,231,252
1992¹,Colorado,All students,217,175,197,219,238,255
1992¹,Connecticut,All students,222,177,201,225,245,262
1992¹,Delaware,All students,213,167,190,214,237,257
1992¹,District of Columbia,All students,188,139,162,188,214,237
1992¹,DoDEA,All students,—,—,—,—,—,—
1992¹,Florida,All students,208,161,185,210,234,252
1992¹,Georgia,All students,212,164,188,214,238,257
1992¹,Hawaii,All students,203,155,180,206,229,248
1992¹,Idaho,All students,219,180,200,221,240,257
1992¹,Indiana,All students,221,180,202,223,243,260
1992¹,Iowa,All students,225,185,206,228,247,263
1992¹,Kansas,All students,—,—,—,—,—,—
1992¹,Kentucky,All students,213,168,191,215,236,253
1992¹,Louisiana,All students,204,161,181,204,227,245
1992¹,Maine,All students,227,190,208,228,246,262
1992¹,Maryland,All students,211,162,188,214,237,255
1992¹,Massachusetts,All students,226,188,207,228,247,263
1992¹,Michigan,All students,216,173,195,219,239,256
1992¹,Minnesota,All students,221,179,200,223,244,260
1992¹,Mississippi,All students,199,153,176,200,224,244
1992¹,Missouri,All students,220,177,200,222,242,259
1992¹,Montana,All students,—,—,—,—,—,—
1992¹,Nebraska,All students,221,180,202,223,243,260
1992¹,Nevada,All students,—,—,—,—,—,—
1992¹,New Hampshire,All students,228,189,209,229,248,264
1992¹,New Jersey,All students,223,179,202,225,247,264
1992¹,New Mexico,All students,211,166,188,212,235,254
1992¹,New York,All students,215,167,194,218,240,257
1992¹,North Carolina,All students,212,163,187,214,238,258
1992¹,North Dakota,All students,226,188,207,227,246,261
1992¹,Ohio,All students,217,175,197,219,240,258
1992¹,Oklahoma,All students,220,180,201,222,241,258
1992¹,Oregon,All students,—,—,—,—,—,—
1992¹,Pennsylvania,All students,221,177,200,223,244,261
1992¹,Rhode Island,All students,217,172,195,219,240,258
1992¹,South Carolina,All students,210,165,187,210,234,254
1992¹,Tennessee,All students,212,168,190,214,236,254
1992¹,Texas,All students,213,168,190,214,236,255
1992¹,Utah,All students,220,180,200,223,242,258
1992¹,Vermont,All students,—,—,—,—,—,—
1992¹,Virginia,All students,221,177,200,223,244,261
1992¹,Washington,All students,—,—,—,—,—,—
1992¹,West Virginia,All students,216,172,195,217,238,256
1992¹,Wisconsin,All students,224,184,204,225,245,261
1992¹,Wyoming,All students,223,183,204,225,244,260
,,,,,,,,
— Not available.,,,,,,,,
‡ Reporting standards not met.,,,,,,,,
¹ Accommodations were not permitted for this assessment.,,,,,,,,
DoDEA NOTE: DoDEA = Department of Defense Education Activity. Some apparent differences between estimates may not be statistically significant.,,,,,,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1992, 1994, 1998, 2000, and 2002 Reading Assessments.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
